Description,Scientific Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Rhizobium sp. AB2/73 chromosome, complete genome",Rhizobium sp. AB2/73,2795216,84.2,84.2,98%,3e-12,72.97,4005874,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP067071.1?report=genbank&log$=nucltop&blast_rank=88&RID=UUVAKDDR01R"",""CP067071.1"")"
"Rhizobium sp. AB2/73 chromosome, complete genome",Rhizobium sp. AB2/73,2795216,84.2,84.2,98%,3e-12,72.97,4005685,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP072172.1?report=genbank&log$=nucltop&blast_rank=89&RID=UUVAKDDR01R"",""CP072172.1"")"
"Rhizobium sp. CCGE531 chromosome, complete genome",Rhizobium sp. CCGE531,2364271,81.5,81.5,94%,4e-11,74.13,4041163,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP032684.1?report=genbank&log$=nucltop&blast_rank=90&RID=UUVAKDDR01R"",""CP032684.1"")"
"Rhizobium sp. CCGE532 chromosome, complete genome",Rhizobium sp. CCGE532,2364272,81.5,81.5,94%,4e-11,74.13,3907717,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP032689.1?report=genbank&log$=nucltop&blast_rank=91&RID=UUVAKDDR01R"",""CP032689.1"")"
"Agrobacterium fabrum strain 12D13 chromosome circular, complete sequence",Agrobacterium fabrum,1176649,80.6,80.6,88%,4e-11,73.13,2853758,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP033034.1?report=genbank&log$=nucltop&blast_rank=92&RID=UUVAKDDR01R"",""CP033034.1"")"
"Agrobacterium fabrum strain 1D132 chromosome circular, complete sequence",Agrobacterium fabrum,1176649,80.6,80.6,88%,4e-11,73.13,2907491,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP033022.1?report=genbank&log$=nucltop&blast_rank=93&RID=UUVAKDDR01R"",""CP033022.1"")"
"Agrobacterium salinitolerans strain DG3-1 chromosome 2, complete sequence",Agrobacterium salinitolerans,1183413,80.6,80.6,88%,4e-11,73.13,2892374,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP074393.1?report=genbank&log$=nucltop&blast_rank=94&RID=UUVAKDDR01R"",""CP074393.1"")"
"Agrobacterium fabrum strain BG5 chromosome ATPC1, complete sequence",Agrobacterium fabrum,1176649,80.6,80.6,88%,4e-11,73.13,2865988,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP043962.1?report=genbank&log$=nucltop&blast_rank=95&RID=UUVAKDDR01R"",""CP043962.1"")"
"Agrobacterium fabrum strain EHA105 chromosome circular, complete sequence",Agrobacterium fabrum,1176649,80.6,80.6,88%,4e-11,73.13,2843716,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP067032.1?report=genbank&log$=nucltop&blast_rank=96&RID=UUVAKDDR01R"",""CP067032.1"")"
"Agrobacterium fabrum strain GV2260 chromosome circular, complete sequence",Agrobacterium fabrum,1176649,80.6,80.6,88%,4e-11,73.13,2841579,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP067027.1?report=genbank&log$=nucltop&blast_rank=97&RID=UUVAKDDR01R"",""CP067027.1"")"
"Agrobacterium fabrum strain GV3101::pMP90 chromosome circular, complete sequence",Agrobacterium fabrum,1176649,80.6,80.6,88%,4e-11,73.13,2841579,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP067037.1?report=genbank&log$=nucltop&blast_rank=98&RID=UUVAKDDR01R"",""CP067037.1"")"
"Agrobacterium tumefaciens str. C58 circular chromosome, complete sequence",Agrobacterium fabrum str. C58,176299,80.6,80.6,88%,4e-11,73.13,2841580,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AE007869.2?report=genbank&log$=nucltop&blast_rank=99&RID=UUVAKDDR01R"",""AE007869.2"")"
"Rhizobium acidisoli strain FH23 chromosome, complete genome",Rhizobium acidisoli,1538158,78.8,78.8,91%,1e-10,72.46,4569280,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP034998.1?report=genbank&log$=nucltop&blast_rank=100&RID=UUVAKDDR01R"",""CP034998.1"")"



		


